Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
Tyler Perry's Why Did I get Married;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Twilight: Breaking Dawn;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Twilight;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0
The Ugly Truth;0;0;1;1;1;0;0;0;0;0;0;0;0;3;0
The Time Traveler's Wife;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0
The Proposal;0;1;0;0;0;1;0;0;0;0;0;0;0;5;0
The Invention of Lying;0;1;0;0;0;1;0;0;0;0;0;0;0;6;0
The Heartbreak Kid;0;1;0;0;0;1;0;0;0;0;0;0;0;7;0
The Duchess;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0
The Curious Case of Benjamin Button;0;0;0;0;0;0;1;0;0;0;0;0;0;9;0
