Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
Tyler Perry's Why Did I get Married;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Twilight: Breaking Dawn;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Midnight in Paris;0;1;0;0;0;1;0;0;0;0;0;0;0;22;0
Marley and Me;0;1;0;0;1;0;0;0;0;0;0;0;0;23;0
Jane Eyre;0;1;0;0;1;0;0;0;0;0;0;0;0;24;0
It's Complicated;0;1;0;0;0;1;0;0;0;0;0;0;0;25;0
Fireproof;0;0;0;0;1;0;0;0;0;0;0;0;0;26;1
Enchanted;0;0;0;0;0;0;0;1;1;0;0;0;0;27;0
Dear John;0;0;0;0;1;1;0;0;0;0;0;0;0;28;1
Beginners;0;1;0;0;1;1;0;0;0;0;0;0;0;29;0
