Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
Infinite;0;0;1;1;0;0;0;0;0;1;0;0;0;37;1
The Contractor;0;0;0;0;0;0;0;0;0;1;1;0;0;38;0
Superman Returns;0;0;1;1;0;0;0;0;0;0;0;0;0;39;0
Quantum of Solace;0;0;0;0;0;0;0;0;0;1;1;0;0;40;0
Pirates of the Caribbean;0;0;0;0;0;0;1;0;0;1;0;0;0;41;0
Anora;0;1;0;0;1;1;0;0;0;0;0;0;0;54;0
Toy Story;0;0;0;0;0;0;0;1;1;0;0;0;0;55;1
Fixed;0;1;0;0;1;0;0;0;0;0;0;0;0;56;1
Everything Everywhere All at Once;0;1;0;0;1;0;0;0;0;0;0;0;0;57;1
Spring Breakers;0;1;0;0;1;0;0;0;0;0;0;0;0;58;1
